,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
342,buycycle,de,2021,ROCKRIDER,All-Mountain Bike AM 50S | SRAM SX Eagle,new,Trail,1,,M,https://buycycle.com/de/bike/all-mountain-bike-am-fifty-s-1,1250 ,1399
343,buycycle,de,2016,Trek,Skye SL Women's | Shimano Altus,new,Crosscountry,1,,S,https://buycycle.com/de/bike/skye-sl-womens-2,300 ,800
344,buycycle,de,2021,Norco,Range VLT C2 | SRAM NX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/range-vlt-c2-4,5000 ,6599
345,buycycle,de,2019,Santa Cruz,Bronson X01 / Carbon CC / 27.5 | SRAM X01 Eagle,new,Enduro,1,,M,https://buycycle.com/de/bike/bronson-x01-carbon-cc-275-4,3800 ,6999
346,buycycle,de,2021,CTM,Areon | Shimano Deore,new,Trail,1,,XL,https://buycycle.com/de/bike/areon,3100 ,3500
347,buycycle,de,2020,Orbea,OIZ H10 | SRAM GX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/oiz-h10,2149 ,3299
348,buycycle,de,2018,Mondraker,Dune Carbon RR | SRAM XX1,new,Enduro,1,,M,https://buycycle.com/de/bike/dune-carbon-rr,2400 ,8535
349,buycycle,de,2021,Merida,BIG.NINE | Shimano Deore XT,new,Crosscountry,1,,M,https://buycycle.com/de/bike/bignine-slx-edition,1480 ,1999
350,buycycle,de,2022,Canyon,Spectral 125 AL 6 | Shimano SLX,new,Trail,1,,M,https://buycycle.com/de/bike/spectral-125-al-6-30,2700 ,2999
351,buycycle,de,2018,Specialized,S-Works Epic XX1 Eagle | SRAM XX1 Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/s-works-epic-xx1-eagle-1,5399 ,6500
352,buycycle,de,2016,Bergamont,ROXTAR 650B | Shimano SLX,new,Crosscountry,1,,S,https://buycycle.com/de/bike/roxtar-650b,400 ,700
353,buycycle,de,2021,Canyon,Torque 6 | SRAM GX,new,Enduro,1,,L,https://buycycle.com/de/bike/torque-6-3,2099 ,2999
354,buycycle,de,2021,Santa Cruz,Hightower R / Carbon C / 29 | SRAM NX Eagle,Refurbished,Trail,1,,M,https://buycycle.com/de/bike/hightower-r-carbon-c-29-11,3849 ,4749
